,title,artist
0,about damn time,lizzo
1,running up that hill (a deal with god),kate bush
2,tv,billie eilish
3,you can have him jolene,chapel hart
4,y'all life,walker hayes
5,the kind of love we make,luke combs
6,as it was,harry styles
7,miracle,a day to remember
8,break my soul,beyoncé
9,rock and a hard place,bailey zimmerman
10,she had me at heads carolina,cole swindell
11,irrelevant,p!nk
12,wasted on you,morgan wallen
13,names,tom macdonald
14,unstoppable,sia
15,left and right,charlie puth & jung kook
16,good as hell,lizzo
17,the dying song (time to sing),slipknot
18,i ain't worried,onerepublic
19,you proof,morgan wallen
20,about damn time,lizzo
21,can't stop us now,pitbull & zac brown
22,sunroof,nicky youre & dazy
23,becky’s so hot,fletcher
24,victoria’s secret,jax
25,like i love country music,kane brown
26,everybody wants to rule the world,tears for fears
27,party in the u.s.a.,miley cyrus
28,never gonna give you up,rick astley
29,master of puppets,metallica
30,i like you (a happier song) [feat. doja cat],post malone
31,arson,j-hope
32,first class,jack harlow
33,hold my hand,lady gaga
34,fall in love,bailey zimmerman
35,son of a sinner,jelly roll
36,never til now,ashley cooke & brett young
37,vegas (from the original motion picture soundtrack elvis),doja cat
38,numb,marshmello & khalid
39,glimpse of us,joji
40,american pie (full length version),don mclean
41,hot shit,"cardi b, kanye west & lil durk"
42,aa,walker hayes
43,dancing queen,abba
44,5 foot 9,tyler hubbard
45,'til you can't,cody johnson
46,late night talking,harry styles
47,damn strait,scotty mccreery
48,fancy like,walker hayes
49,cold heart (pnau remix),elton john & dua lipa
50,quietly yours,birdy
51,call me maybe,carly rae jepsen
52,don’t come lookin’,jackson dean
53,valley of lies,tomorrow x together & iann dior
54,you can have him jolene,chapel hart
55,tennessee whiskey,chris stapleton
56,poker face,lady gaga
57,= (equal sign),j-hope
58,shivers,ed sheeran
59,don't stop believin',journey
60,safety zone,j-hope
61,pandora's box,j-hope
62,she likes it (feat. jake scott),russell dickerson & jake scott
63,what if…,j-hope
64,stop,j-hope
65,future,j-hope
66,betty (get money),yung gravy
67,lights (single version),ellie goulding
68,sweet child o' mine,guns n' roses
69,music box : reflection,j-hope
70,soul,lee brice
71,something in the orange (z&e's version),zach bryan
72,hey you,disturbed
73,intro,j-hope
74,roar,katy perry
75,sweet caroline,neil diamond
76,more,j-hope
77,dark horse (feat. juicy j),katy perry
78,7 years,lukas graham
79,big energy (remix) [feat. dj khaled],latto & mariah carey
80,numb little bug,em beihold
81,big energy,latto
82,i'm yours,jason mraz
83,wait for u (feat. drake & tems),future
84,tití me preguntó,bad bunny
85,whiskey on you,nate smith
86,abcdefu (feat. royal & the serpent),gayle
87,joy of my life,chris stapleton
88,angel (feat. rayvon),shaggy
89,the 30th,billie eilish
90,heat waves,glass animals
91,sand in my boots,morgan wallen
92,levitating (feat. dababy),dua lipa
93,kings & queens,ava max
94,country on,luke bryan
95,in jesus name (god of possible),katy nichole
96,love shack,the b-52's
97,jimmy cooks (feat. 21 savage),drake
98,take my name,parmalee
99,so good,halsey
